method,split,precision,recall,f1,accuracy,false_positive_rate,flag_rate,positive_rate,auroc,auprc,score_mean,episodes,seeds
full_physics_violation_audit_v5,adversarial_compensated_violation,1.0000,0.5875,0.7402,0.5875,0.0000,0.5875,1.0000,0.0000,1.0000,329.3100,80,8
full_physics_violation_audit_v5,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,677.1211,80,8
full_physics_violation_audit_v5,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,75.1458,80,8
full_physics_violation_audit_v5,rare_valid_bounce,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.2016,80,8
no_actuator_check,adversarial_compensated_violation,1.0000,0.5875,0.7402,0.5875,0.0000,0.5875,1.0000,0.0000,1.0000,329.3100,80,8
no_actuator_check,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,676.6317,80,8
no_actuator_check,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,75.1458,80,8
no_actuator_check,rare_valid_bounce,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.2016,80,8
no_causality_check,adversarial_compensated_violation,1.0000,0.5875,0.7402,0.5875,0.0000,0.5875,1.0000,0.0000,1.0000,327.7936,80,8
no_causality_check,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,675.2515,80,8
no_causality_check,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,75.0522,80,8
no_causality_check,rare_valid_bounce,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,166.7531,80,8
