method,split,precision,recall,f1,accuracy,false_positive_rate,flag_rate,positive_rate,auroc,auprc,score_mean,episodes,seeds
no_conformal_aggregation,adversarial_compensated_violation,1.0000,0.5875,0.7402,0.5875,0.0000,0.5875,1.0000,0.0000,1.0000,395.8990,80,8
no_conformal_aggregation,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,814.0539,80,8
no_conformal_aggregation,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,89.9871,80,8
no_conformal_aggregation,rare_valid_bounce,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,200.9935,80,8
no_contact_check,adversarial_compensated_violation,1.0000,0.5875,0.7402,0.5875,0.0000,0.5875,1.0000,0.0000,1.0000,329.3002,80,8
no_contact_check,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,677.0806,80,8
no_contact_check,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,75.1297,80,8
no_contact_check,rare_valid_bounce,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.1976,80,8
no_energy_check,adversarial_compensated_violation,1.0000,0.5875,0.7402,0.5875,0.0000,0.5875,1.0000,0.0000,1.0000,329.0804,80,8
no_energy_check,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,676.8412,80,8
no_energy_check,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,74.6984,80,8
no_energy_check,rare_valid_bounce,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.0428,80,8
no_friction_slip_check,adversarial_compensated_violation,1.0000,0.6625,0.7970,0.6625,0.0000,0.6625,1.0000,0.0000,1.0000,5.0964,80,8
no_friction_slip_check,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,13.9203,80,8
no_friction_slip_check,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,2.1215,80,8
no_friction_slip_check,rare_valid_bounce,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,3.1027,80,8
no_rare_valid_guard,adversarial_compensated_violation,1.0000,0.5875,0.7402,0.5875,0.0000,0.5875,1.0000,0.0000,1.0000,329.3101,80,8
no_rare_valid_guard,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,685.9970,80,8
no_rare_valid_guard,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,75.7459,80,8
no_rare_valid_guard,rare_valid_bounce,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.2016,80,8
no_support_check,adversarial_compensated_violation,1.0000,0.5875,0.7402,0.5875,0.0000,0.5875,1.0000,0.0000,1.0000,329.3100,80,8
no_support_check,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,677.0300,80,8
no_support_check,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,75.1458,80,8
no_support_check,rare_valid_bounce,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.2016,80,8
no_timestamp_guard,adversarial_compensated_violation,1.0000,0.5875,0.7402,0.5875,0.0000,0.5875,1.0000,0.0000,1.0000,329.3100,80,8
no_timestamp_guard,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,677.1211,80,8
no_timestamp_guard,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,75.1458,80,8
no_timestamp_guard,rare_valid_bounce,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.2016,80,8
old_v4_physics_audit,adversarial_compensated_violation,1.0000,0.5875,0.7402,0.5875,0.0000,0.5875,1.0000,0.0000,1.0000,367.5862,80,8
old_v4_physics_audit,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,765.7276,80,8
old_v4_physics_audit,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,84.2263,80,8
old_v4_physics_audit,rare_valid_bounce,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,186.6166,80,8
scalar_residual_only,adversarial_compensated_violation,1.0000,0.0875,0.1609,0.0875,0.0000,0.0875,1.0000,0.0000,1.0000,3.4790,80,8
scalar_residual_only,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,7.3792,80,8
scalar_residual_only,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,2.6668,80,8
scalar_residual_only,rare_valid_bounce,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,2.8562,80,8
