aggregate_group,method,precision,recall,f1,accuracy,false_positive_rate,flag_rate,positive_rate,auroc,auprc,score_mean,episodes,seeds
all_main,full_physics_violation_audit_v5,0.9695,0.5292,0.6846,0.6344,0.0500,0.4094,0.7500,0.6448,0.8901,312.1946,320,8
all_main,no_actuator_check,0.9695,0.5292,0.6846,0.6344,0.0500,0.4094,0.7500,0.6448,0.8901,312.0723,320,8
all_main,no_causality_check,0.9695,0.5292,0.6846,0.6344,0.0500,0.4094,0.7500,0.6449,0.8901,311.2126,320,8
all_main,no_conformal_aggregation,0.9695,0.5292,0.6846,0.6344,0.0500,0.4094,0.7500,0.6446,0.8900,375.2334,320,8
all_main,no_contact_check,0.9695,0.5292,0.6846,0.6344,0.0500,0.4094,0.7500,0.6448,0.8901,312.1770,320,8
all_main,no_energy_check,0.9695,0.5292,0.6846,0.6344,0.0500,0.4094,0.7500,0.6446,0.8900,311.9157,320,8
all_main,no_friction_slip_check,0.9708,0.5542,0.7056,0.6531,0.0500,0.4281,0.7500,0.6745,0.9005,6.0602,320,8
all_main,no_rare_valid_guard,0.9695,0.5292,0.6846,0.6344,0.0500,0.4094,0.7500,0.6449,0.8901,314.5637,320,8
all_main,no_support_check,0.9695,0.5292,0.6846,0.6344,0.0500,0.4094,0.7500,0.6448,0.8901,312.1719,320,8
all_main,no_timestamp_guard,0.9695,0.5292,0.6846,0.6344,0.0500,0.4094,0.7500,0.6448,0.8901,312.1946,320,8
all_main,old_v4_physics_audit,0.9695,0.5292,0.6846,0.6344,0.0500,0.4094,0.7500,0.6447,0.8900,351.0392,320,8
all_main,scalar_residual_only,0.9560,0.3625,0.5257,0.5094,0.0500,0.2844,0.7500,0.7522,0.8983,4.0953,320,8
valid_regimes,full_physics_violation_audit_v5,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.2016,80,8
valid_regimes,no_actuator_check,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.2016,80,8
valid_regimes,no_causality_check,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,166.7531,80,8
valid_regimes,no_conformal_aggregation,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,200.9935,80,8
valid_regimes,no_contact_check,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.1976,80,8
valid_regimes,no_energy_check,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.0428,80,8
valid_regimes,no_friction_slip_check,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,3.1027,80,8
valid_regimes,no_rare_valid_guard,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.2016,80,8
valid_regimes,no_support_check,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.2016,80,8
valid_regimes,no_timestamp_guard,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,167.2016,80,8
valid_regimes,old_v4_physics_audit,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,186.6166,80,8
valid_regimes,scalar_residual_only,0.0000,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,2.8562,80,8
hard_corruptions,full_physics_violation_audit_v5,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,360.5256,240,8
hard_corruptions,no_actuator_check,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,360.3625,240,8
hard_corruptions,no_causality_check,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,359.3658,240,8
hard_corruptions,no_conformal_aggregation,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,433.3134,240,8
hard_corruptions,no_contact_check,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,360.5035,240,8
hard_corruptions,no_energy_check,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,360.2067,240,8
hard_corruptions,no_friction_slip_check,1.0000,0.5542,0.7131,0.5542,0.0000,0.5542,1.0000,0.0000,1.0000,7.0461,240,8
hard_corruptions,no_rare_valid_guard,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,363.6843,240,8
hard_corruptions,no_support_check,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,360.4953,240,8
hard_corruptions,no_timestamp_guard,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,360.5256,240,8
hard_corruptions,old_v4_physics_audit,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,405.8467,240,8
hard_corruptions,scalar_residual_only,1.0000,0.3625,0.5321,0.3625,0.0000,0.3625,1.0000,0.0000,1.0000,4.5083,240,8
combined_and_adversarial,full_physics_violation_audit_v5,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,360.5256,240,8
combined_and_adversarial,no_actuator_check,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,360.3625,240,8
combined_and_adversarial,no_causality_check,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,359.3658,240,8
combined_and_adversarial,no_conformal_aggregation,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,433.3134,240,8
combined_and_adversarial,no_contact_check,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,360.5035,240,8
combined_and_adversarial,no_energy_check,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,360.2067,240,8
combined_and_adversarial,no_friction_slip_check,1.0000,0.5542,0.7131,0.5542,0.0000,0.5542,1.0000,0.0000,1.0000,7.0461,240,8
