split,seed,episode,severity,label,unsafe,corruption,max_pose_jump,max_accel,contact_without_accel,motion_without_contact,energy_work_mismatch,support_violation,penetration_depth,friction_slip_inconsistency,actuator_saturation_score,causality_jump_score,max_contact_force,mean_contact_force,path_length,work_proxy,kinetic_energy_gain,z_range,timestamp_skew_score,impact_consistency_score,rare_valid_contact_score,noise_level
nominal_valid,0,0,1.0000,0,0,nominal_valid,0.017628,15.206069,0.000000,1.418379,0.018949,0.000000,0.000394,4249.767015,0.000000,0.503666,2.457366,0.300422,0.618790,0.083030,0.243391,0.023313,0.000000,0.000001,0.151632,0.001000
nominal_valid,0,1,1.0000,0,0,nominal_valid,0.016853,21.770425,0.009544,1.419575,0.024416,0.000000,0.000546,2308.095638,0.000000,0.481522,8.507455,0.991005,0.574343,0.221105,0.318382,0.014626,0.000000,0.093735,0.373619,0.001000
nominal_valid,0,2,1.0000,0,0,nominal_valid,0.018738,38.235115,0.010051,1.773442,0.032072,0.000000,0.001008,2586.450776,0.000000,0.535358,12.778291,1.630717,0.646656,0.330977,0.454270,0.019170,0.000000,0.000001,0.325685,0.001000
nominal_valid,0,3,1.0000,0,0,nominal_valid,0.018120,30.368953,0.000000,1.681691,0.023994,0.000000,0.000864,2240.180369,0.000000,0.517720,6.334707,1.299148,0.619905,0.342342,0.375993,0.016762,0.000000,0.127946,0.201942,0.001000
nominal_valid,0,4,1.0000,0,0,nominal_valid,0.015633,26.185302,0.002705,1.153811,0.025527,0.000000,0.000370,1171.011722,0.000000,0.446647,6.408388,1.561653,0.585087,0.477237,0.360637,0.016242,0.000000,0.357162,0.235730,0.001000
nominal_valid,0,5,1.0000,0,0,nominal_valid,0.018275,34.191196,0.018038,1.177320,0.033013,0.000000,0.000943,1358.426512,0.000000,0.522150,15.657473,2.222703,0.544621,0.385990,0.428634,0.017010,0.000000,0.000001,0.444926,0.001000
nominal_valid,0,6,1.0000,0,0,nominal_valid,0.015597,21.468296,0.000205,0.939045,0.022229,0.000000,0.000505,1052.432481,0.000000,0.445630,5.976279,1.565541,0.559895,0.427236,0.377155,0.016232,0.000000,0.390177,0.265987,0.001000
nominal_valid,0,7,1.0000,0,0,nominal_valid,0.017230,14.742470,0.000000,1.465874,0.031862,0.000000,0.000382,3048.441049,0.000000,0.492281,5.162837,1.010990,0.612598,0.235052,0.466666,0.019962,0.000000,0.217400,0.327956,0.001000
nominal_valid,0,8,1.0000,0,0,nominal_valid,0.017467,15.926063,0.001631,1.582494,0.031649,0.000000,0.000394,3600.775383,0.000000,0.499065,10.329766,1.051023,0.594925,0.349447,0.409591,0.017115,0.000000,0.000001,0.610288,0.001000
nominal_valid,0,9,1.0000,0,0,nominal_valid,0.017079,14.719512,0.000000,1.631514,0.015390,0.000000,0.000371,3951.813443,0.000000,0.487968,3.124967,0.428515,0.624378,0.133354,0.297965,0.015722,0.000000,0.000001,0.198795,0.001000
nominal_valid,0,10,1.0000,0,0,nominal_valid,0.018401,27.966453,0.005272,1.115832,0.015467,0.000000,0.000483,1179.522951,0.000000,0.525731,11.257142,1.443852,0.538192,0.388306,0.246582,0.015613,0.000000,0.335508,0.388627,0.001000
nominal_valid,0,11,1.0000,0,0,nominal_valid,0.016987,38.367324,0.001324,1.698462,0.019272,0.000000,0.000368,1758.033079,0.000000,0.485332,6.283169,1.418602,0.572649,0.373999,0.301183,0.015424,0.000000,0.325177,0.159604,0.001000
nominal_valid,0,12,1.0000,0,0,nominal_valid,0.016746,14.840538,0.000000,1.673385,0.024409,0.000000,0.000508,4399.198261,0.000000,0.478464,3.702242,0.622948,0.561157,0.153441,0.396950,0.016301,0.000000,0.000001,0.233719,0.001000
