method,fpr_budget,threshold,hard_recall_at_budget,valid_scores,hard_scores
random_flagger,0.01,0.999404,0.0097,448,1232
random_flagger,0.05,0.989044,0.0568,448,1232
random_flagger,0.10,0.957772,0.1250,448,1232
kinematic_residual_threshold,0.01,2.370628,0.4448,448,1232
kinematic_residual_threshold,0.05,2.045146,0.5455,448,1232
kinematic_residual_threshold,0.10,1.889885,0.5877,448,1232
energy_residual_threshold,0.01,5.656589,0.1648,448,1232
energy_residual_threshold,0.05,3.856770,0.2297,448,1232
energy_residual_threshold,0.10,2.561683,0.3515,448,1232
contact_impulse_threshold,0.01,0.102716,0.2727,448,1232
contact_impulse_threshold,0.05,0.066213,0.2792,448,1232
contact_impulse_threshold,0.10,0.048602,0.3084,448,1232
max_residual_detector,0.01,563.742667,0.2687,448,1232
max_residual_detector,0.05,478.361936,0.3133,448,1232
max_residual_detector,0.10,442.646341,0.3279,448,1232
logistic_residual_stack,0.01,0.769773,0.7508,448,1232
logistic_residual_stack,0.05,0.673608,0.8425,448,1232
logistic_residual_stack,0.10,0.566837,0.8888,448,1232
hgb_failure_classifier,0.01,0.972882,1.0000,448,1232
hgb_failure_classifier,0.05,0.026540,1.0000,448,1232
hgb_failure_classifier,0.10,0.004994,1.0000,448,1232
random_forest_ensemble,0.01,0.647917,0.9992,448,1232
random_forest_ensemble,0.05,0.401837,1.0000,448,1232
random_forest_ensemble,0.10,0.294141,1.0000,448,1232
isolation_forest_detector,0.01,0.672669,0.0706,448,1232
isolation_forest_detector,0.05,0.606624,0.4627,448,1232
isolation_forest_detector,0.10,0.536659,0.8782,448,1232
pca_reconstruction_audit,0.01,0.057453,0.9091,448,1232
pca_reconstruction_audit,0.05,0.019183,0.9440,448,1232
pca_reconstruction_audit,0.10,0.011558,0.9683,448,1232
conformal_residual_ensemble,0.01,1.928327,0.6185,448,1232
conformal_residual_ensemble,0.05,1.283375,0.8807,448,1232
conformal_residual_ensemble,0.10,1.127815,0.9091,448,1232
calibrated_learned_stack,0.01,0.964637,0.9943,448,1232
calibrated_learned_stack,0.05,0.045990,1.0000,448,1232
calibrated_learned_stack,0.10,0.024539,1.0000,448,1232
physics_violation_audit,0.01,352.593728,0.2687,448,1232
physics_violation_audit,0.05,299.210243,0.3133,448,1232
physics_violation_audit,0.10,276.964862,0.3279,448,1232
physics_violation_audit_v5,0.01,314.743662,0.2565,448,1232
physics_violation_audit_v5,0.05,267.118438,0.3076,448,1232
physics_violation_audit_v5,0.10,247.411191,0.3279,448,1232
oracle_violation_labels,0.01,0.000000,1.0000,448,1232
oracle_violation_labels,0.05,0.000000,1.0000,448,1232
oracle_violation_labels,0.10,0.000000,1.0000,448,1232
