split,baseline,mean_f1_diff_vs_v5,paired_t_approx,normal_approx_p,seeds
nominal_valid,random_flagger,0.0000,0.0000,1.0000,8
nominal_valid,kinematic_residual_threshold,0.0000,0.0000,1.0000,8
nominal_valid,energy_residual_threshold,0.0000,0.0000,1.0000,8
nominal_valid,contact_impulse_threshold,0.0000,0.0000,1.0000,8
nominal_valid,max_residual_detector,0.0000,0.0000,1.0000,8
nominal_valid,logistic_residual_stack,0.0000,0.0000,1.0000,8
nominal_valid,hgb_failure_classifier,0.0000,0.0000,1.0000,8
nominal_valid,random_forest_ensemble,0.0000,0.0000,1.0000,8
nominal_valid,isolation_forest_detector,0.0000,0.0000,1.0000,8
nominal_valid,pca_reconstruction_audit,0.0000,0.0000,1.0000,8
nominal_valid,conformal_residual_ensemble,0.0000,0.0000,1.0000,8
nominal_valid,calibrated_learned_stack,0.0000,0.0000,1.0000,8
nominal_valid,physics_violation_audit,0.0000,0.0000,1.0000,8
nominal_valid,oracle_violation_labels,0.0000,0.0000,1.0000,8
rare_valid_bounce,random_flagger,0.0000,0.0000,1.0000,8
rare_valid_bounce,kinematic_residual_threshold,0.0000,0.0000,1.0000,8
rare_valid_bounce,energy_residual_threshold,0.0000,0.0000,1.0000,8
rare_valid_bounce,contact_impulse_threshold,0.0000,0.0000,1.0000,8
rare_valid_bounce,max_residual_detector,0.0000,0.0000,1.0000,8
rare_valid_bounce,logistic_residual_stack,0.0000,0.0000,1.0000,8
rare_valid_bounce,hgb_failure_classifier,0.0000,0.0000,1.0000,8
rare_valid_bounce,random_forest_ensemble,0.0000,0.0000,1.0000,8
rare_valid_bounce,isolation_forest_detector,0.0000,0.0000,1.0000,8
rare_valid_bounce,pca_reconstruction_audit,0.0000,0.0000,1.0000,8
rare_valid_bounce,conformal_residual_ensemble,0.0000,0.0000,1.0000,8
rare_valid_bounce,calibrated_learned_stack,0.0000,0.0000,1.0000,8
rare_valid_bounce,physics_violation_audit,0.0000,0.0000,1.0000,8
rare_valid_bounce,oracle_violation_labels,0.0000,0.0000,1.0000,8
valid_clock_skew,random_flagger,0.0000,0.0000,1.0000,8
valid_clock_skew,kinematic_residual_threshold,0.0000,0.0000,1.0000,8
valid_clock_skew,energy_residual_threshold,0.0000,0.0000,1.0000,8
valid_clock_skew,contact_impulse_threshold,0.0000,0.0000,1.0000,8
valid_clock_skew,max_residual_detector,0.0000,0.0000,1.0000,8
valid_clock_skew,logistic_residual_stack,0.0000,0.0000,1.0000,8
valid_clock_skew,hgb_failure_classifier,0.0000,0.0000,1.0000,8
valid_clock_skew,random_forest_ensemble,0.0000,0.0000,1.0000,8
valid_clock_skew,isolation_forest_detector,0.0000,0.0000,1.0000,8
