method,split,precision,recall,f1,accuracy,false_positive_rate,flag_rate,positive_rate,auroc,auprc,score_mean,episodes,seeds
calibrated_learned_stack,actuator_saturation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9911,112,8
calibrated_learned_stack,adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9948,112,8
calibrated_learned_stack,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9992,112,8
calibrated_learned_stack,contact_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9988,112,8
calibrated_learned_stack,energy_work_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9936,112,8
calibrated_learned_stack,mixed_near_threshold,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9926,112,8
calibrated_learned_stack,nominal_valid,0.0000,0.0000,0.0000,0.9464,0.0536,0.0536,0.0000,0.0000,0.0000,0.0270,112,8
calibrated_learned_stack,noncausal_teleport,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9944,112,8
calibrated_learned_stack,rare_valid_bounce,0.0000,0.0000,0.0000,0.7857,0.2143,0.2143,0.0000,0.0000,0.0000,0.1312,112,8
calibrated_learned_stack,subtle_contact_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9950,112,8
calibrated_learned_stack,subtle_energy_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9771,112,8
calibrated_learned_stack,support_levitation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9957,112,8
calibrated_learned_stack,timestamp_noncausal_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9912,112,8
calibrated_learned_stack,valid_clock_skew,0.0000,0.0000,0.0000,0.9464,0.0536,0.0536,0.0000,0.0000,0.0000,0.0160,112,8
calibrated_learned_stack,valid_low_friction_slip,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0038,112,8
conformal_residual_ensemble,actuator_saturation,1.0000,0.6429,0.7826,0.6429,0.0000,0.6429,1.0000,0.0000,1.0000,1.4898,112,8
conformal_residual_ensemble,adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,4.8034,112,8
conformal_residual_ensemble,combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,2173912.5252,112,8
conformal_residual_ensemble,contact_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,36.1811,112,8
conformal_residual_ensemble,energy_work_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,2.3834,112,8
conformal_residual_ensemble,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.3258,112,8
conformal_residual_ensemble,nominal_valid,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5742,112,8
conformal_residual_ensemble,noncausal_teleport,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,2.5506,112,8
conformal_residual_ensemble,rare_valid_bounce,0.0000,0.0000,0.0000,0.8750,0.1250,0.1250,0.0000,0.0000,0.0000,1.0899,112,8
conformal_residual_ensemble,subtle_contact_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,13.6766,112,8
conformal_residual_ensemble,subtle_energy_corruption,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.7398,112,8
conformal_residual_ensemble,support_levitation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,2173912.5252,112,8
conformal_residual_ensemble,timestamp_noncausal_corruption,1.0000,0.4464,0.6173,0.4464,0.0000,0.4464,1.0000,0.0000,1.0000,1.4564,112,8
conformal_residual_ensemble,valid_clock_skew,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5733,112,8
conformal_residual_ensemble,valid_low_friction_slip,0.0000,0.0000,0.0000,0.9911,0.0089,0.0089,0.0000,0.0000,0.0000,0.9036,112,8
contact_impulse_threshold,actuator_saturation,1.0000,0.0089,0.0177,0.0089,0.0000,0.0089,1.0000,0.0000,1.0000,0.0162,112,8
contact_impulse_threshold,adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.3470,112,8
contact_impulse_threshold,combined_violation_shift,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0170,112,8
contact_impulse_threshold,contact_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,2.6135,112,8
contact_impulse_threshold,energy_work_corruption,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0197,112,8
contact_impulse_threshold,mixed_near_threshold,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0176,112,8
contact_impulse_threshold,nominal_valid,0.0000,0.0000,0.0000,0.9911,0.0089,0.0089,0.0000,0.0000,0.0000,0.0173,112,8
contact_impulse_threshold,noncausal_teleport,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0172,112,8
contact_impulse_threshold,rare_valid_bounce,0.0000,0.0000,0.0000,0.8571,0.1429,0.1429,0.0000,0.0000,0.0000,0.0405,112,8
contact_impulse_threshold,subtle_contact_corruption,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9879,112,8
contact_impulse_threshold,subtle_energy_corruption,1.0000,0.0179,0.0351,0.0179,0.0000,0.0179,1.0000,0.0000,1.0000,0.0182,112,8
contact_impulse_threshold,support_levitation,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0165,112,8
