method,split,seed,precision,recall,f1,accuracy,false_positive_rate,flag_rate,positive_rate,episodes,seeds
ensemble_dynamics_uncertainty,combined_violation_shift,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,combined_violation_shift,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,combined_violation_shift,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,combined_violation_shift,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,contact_corruption,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,contact_corruption,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,contact_corruption,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,contact_corruption,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,contact_corruption,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,energy_work_corruption,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,energy_work_corruption,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,energy_work_corruption,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,energy_work_corruption,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,energy_work_corruption,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,nominal_valid,0,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,12,1
ensemble_dynamics_uncertainty,nominal_valid,1,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,12,1
ensemble_dynamics_uncertainty,nominal_valid,2,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,12,1
ensemble_dynamics_uncertainty,nominal_valid,3,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,12,1
ensemble_dynamics_uncertainty,nominal_valid,4,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,12,1
ensemble_dynamics_uncertainty,noncausal_teleport,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,noncausal_teleport,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,noncausal_teleport,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,noncausal_teleport,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,noncausal_teleport,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
ensemble_dynamics_uncertainty,support_levitation,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
