method,split,seed,episode,label,unsafe,score,threshold,flag,true_positive,false_positive,false_negative,true_negative,severity
full_physics_violation_audit_v5,combined_violation_shift,0,0,1,1,1277.078125,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,0,1,1,1,714.180420,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,0,2,1,1,617.212280,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,0,3,1,1,545.581055,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,0,4,1,1,421.811737,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,0,5,1,1,480.117859,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,0,6,1,1,499.734100,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,0,7,1,1,925.223572,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,0,8,1,1,1095.662476,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,0,9,1,1,1100.894775,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,1,0,1,1,675.500854,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,1,1,1,1,739.731750,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,1,2,1,1,439.875977,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,1,3,1,1,496.025513,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,1,4,1,1,657.712524,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,1,5,1,1,549.596924,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,1,6,1,1,599.271790,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,1,7,1,1,872.068542,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,1,8,1,1,445.689972,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,1,9,1,1,491.635040,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,2,0,1,1,679.815735,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,2,1,1,1,559.572144,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,2,2,1,1,453.542053,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,2,3,1,1,539.254333,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,2,4,1,1,537.991333,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,2,5,1,1,507.726105,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,2,6,1,1,751.059082,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,2,7,1,1,411.890839,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,2,8,1,1,1179.821533,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,2,9,1,1,621.984436,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,3,0,1,1,477.011749,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,3,1,1,1,438.049774,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,3,2,1,1,659.221924,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,3,3,1,1,785.860535,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,3,4,1,1,608.694458,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,3,5,1,1,588.881409,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,3,6,1,1,447.922485,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,3,7,1,1,778.242493,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,3,8,1,1,509.003693,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,3,9,1,1,1028.261719,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,4,0,1,1,1232.231079,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,4,1,1,1,973.499146,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,4,2,1,1,640.971985,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,4,3,1,1,552.333069,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,4,4,1,1,467.769257,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,4,5,1,1,392.370361,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,4,6,1,1,417.668762,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,4,7,1,1,1182.922974,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,4,8,1,1,869.851624,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,4,9,1,1,489.648621,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,5,0,1,1,413.088867,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,5,1,1,1,721.998535,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,5,2,1,1,742.660339,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,5,3,1,1,505.157349,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,5,4,1,1,1318.344849,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,5,5,1,1,619.493530,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,5,6,1,1,1103.803223,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,5,7,1,1,588.596375,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,5,8,1,1,867.060974,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,5,9,1,1,705.071106,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,6,0,1,1,505.183990,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,6,1,1,1,475.372131,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,6,2,1,1,384.136902,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,6,3,1,1,562.372192,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,6,4,1,1,605.834290,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,6,5,1,1,809.248779,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,6,6,1,1,808.442383,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,6,7,1,1,800.614868,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,6,8,1,1,598.104187,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,6,9,1,1,481.063965,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,7,0,1,1,789.369202,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,7,1,1,1,596.366882,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,7,2,1,1,845.265442,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,7,3,1,1,631.137146,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,7,4,1,1,933.284363,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,7,5,1,1,802.329346,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,7,6,1,1,445.960785,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,7,7,1,1,483.031952,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,7,8,1,1,1103.090332,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,combined_violation_shift,7,9,1,1,496.524750,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,0,0,1,1,225.160843,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,0,1,1,1,103.847481,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,0,2,1,1,399.354614,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,0,3,1,1,570.617493,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,0,4,1,1,286.506531,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,0,5,1,1,191.667175,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,0,6,1,1,393.843384,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,0,7,1,1,202.255356,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,0,8,1,1,518.974365,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,0,9,1,1,231.887436,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,1,0,1,1,157.021866,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,1,1,1,1,230.744293,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,1,2,1,1,312.195923,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,1,3,1,1,427.739227,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,1,4,1,1,618.312378,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,1,5,1,1,335.275238,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,1,6,1,1,446.648438,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,1,7,1,1,483.787109,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,1,8,1,1,278.209137,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,1,9,1,1,287.957428,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,2,0,1,1,180.378647,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,2,1,1,1,189.351028,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,2,2,1,1,248.767761,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,2,3,1,1,331.814453,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,2,4,1,1,327.719513,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,2,5,1,1,594.419983,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,2,6,1,1,79.675385,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,2,7,1,1,265.171600,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,2,8,1,1,589.613342,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,2,9,1,1,547.369812,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,3,0,1,1,84.757935,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,3,1,1,1,244.098602,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,3,2,1,1,74.201286,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,3,3,1,1,385.823090,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,3,4,1,1,133.844376,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,3,5,1,1,199.077591,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,3,6,1,1,438.487305,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,3,7,1,1,351.555420,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,3,8,1,1,481.538574,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,3,9,1,1,559.282288,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,4,0,1,1,677.918762,258.985274,1,1,0,0,0,1.0000
