method,split,seed,episode,label,unsafe,score,threshold,flag,true_positive,false_positive,false_negative,true_negative,severity
full_physics_violation_audit_v5,adversarial_compensated_violation,4,1,1,1,477.071289,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,4,2,1,1,672.197144,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,4,3,1,1,580.848389,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,4,4,1,1,347.676117,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,4,5,1,1,186.315857,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,4,6,1,1,125.729057,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,4,7,1,1,386.407166,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,4,8,1,1,617.844177,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,4,9,1,1,295.466309,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,5,0,1,1,267.375671,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,5,1,1,1,116.163422,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,5,2,1,1,222.843353,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,5,3,1,1,224.150482,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,5,4,1,1,503.960144,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,5,5,1,1,197.547882,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,5,6,1,1,207.947296,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,5,7,1,1,125.295433,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,5,8,1,1,435.808655,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,5,9,1,1,66.945763,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,6,0,1,1,485.257050,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,6,1,1,1,240.226028,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,6,2,1,1,522.431824,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,6,3,1,1,230.965988,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,6,4,1,1,217.808685,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,6,5,1,1,443.863525,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,6,6,1,1,228.642883,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,6,7,1,1,394.441650,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,6,8,1,1,240.947678,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,6,9,1,1,309.939972,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,7,0,1,1,189.449219,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,7,1,1,1,382.732178,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,7,2,1,1,413.862579,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,7,3,1,1,273.533142,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,7,4,1,1,273.032532,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,7,5,1,1,392.711914,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,7,6,1,1,233.314209,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,7,7,1,1,243.489487,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,7,8,1,1,551.091736,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,adversarial_compensated_violation,7,9,1,1,332.591644,258.985274,1,1,0,0,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,0,0,1,1,199.845291,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,0,1,1,1,48.684498,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,0,2,1,1,103.339165,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,0,3,1,1,80.807358,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,0,4,1,1,27.049458,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,0,5,1,1,80.222954,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,0,6,1,1,32.252411,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,0,7,1,1,50.386856,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,0,8,1,1,196.194992,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,0,9,1,1,166.122208,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,1,0,1,1,45.577538,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,1,1,1,1,93.308578,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,1,2,1,1,25.842960,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,1,3,1,1,39.927708,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,1,4,1,1,108.483643,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,1,5,1,1,87.715065,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,1,6,1,1,45.023544,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,1,7,1,1,141.383377,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,1,8,1,1,34.964603,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,1,9,1,1,42.300968,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,2,0,1,1,110.676514,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,2,1,1,1,51.348957,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,2,2,1,1,28.441881,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,2,3,1,1,29.014580,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,2,4,1,1,104.513130,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,2,5,1,1,80.795952,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,2,6,1,1,53.426086,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,2,7,1,1,56.647152,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,2,8,1,1,85.023331,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,2,9,1,1,48.303337,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,3,0,1,1,23.192198,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,3,1,1,1,25.455202,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,3,2,1,1,61.971119,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,3,3,1,1,123.418022,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,3,4,1,1,44.669010,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,3,5,1,1,87.068596,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,3,6,1,1,34.018620,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,3,7,1,1,124.120270,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,3,8,1,1,38.858471,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,3,9,1,1,141.820786,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,4,0,1,1,159.379593,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,4,1,1,1,123.068047,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,4,2,1,1,76.786034,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,4,3,1,1,46.534286,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,4,4,1,1,31.890753,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,4,5,1,1,21.612041,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,4,6,1,1,30.677984,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,4,7,1,1,209.321381,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,4,8,1,1,61.440937,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,4,9,1,1,87.376579,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,5,0,1,1,28.102215,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,5,1,1,1,56.158607,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,5,2,1,1,44.581711,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,5,3,1,1,82.513046,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,5,4,1,1,151.951096,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,5,5,1,1,50.950851,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,5,6,1,1,177.571930,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,5,7,1,1,73.274521,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,5,8,1,1,70.074181,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,5,9,1,1,93.129463,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,6,0,1,1,38.176292,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,6,1,1,1,32.156364,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,6,2,1,1,24.160416,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,6,3,1,1,101.376854,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,6,4,1,1,42.514481,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,6,5,1,1,130.283493,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,6,6,1,1,122.331184,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,6,7,1,1,47.490887,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,6,8,1,1,27.760706,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,6,9,1,1,44.396099,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,7,0,1,1,110.393539,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,7,1,1,1,39.488625,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,7,2,1,1,60.919994,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,7,3,1,1,49.483719,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,7,4,1,1,75.903717,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,7,5,1,1,117.191071,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,7,6,1,1,30.379297,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,7,7,1,1,40.587273,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,7,8,1,1,165.329910,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,mixed_near_threshold,7,9,1,1,32.729706,258.985274,0,0,0,1,0,1.0000
full_physics_violation_audit_v5,rare_valid_bounce,0,0,0,0,159.115128,258.985274,0,0,0,0,1,1.0000
full_physics_violation_audit_v5,rare_valid_bounce,0,1,0,0,116.900993,258.985274,0,0,0,0,1,1.0000
