split,seed,episode,severity,label,unsafe,corruption,max_pose_jump,max_accel,contact_without_accel,motion_without_contact,energy_work_mismatch,support_violation,penetration_depth,friction_slip_inconsistency,actuator_saturation_score,causality_jump_score,max_contact_force,mean_contact_force,path_length,work_proxy,kinetic_energy_gain,z_range,timestamp_skew_score,impact_consistency_score,rare_valid_contact_score,noise_level
noncausal_teleport,4,92,0.6000,1,1,noncausal_teleport,0.046159,28.868497,0.000000,4.608206,0.007347,0.000000,0.000467,10006.637129,0.000000,1.318824,3.086551,0.473299,0.343979,0.126420,0.111260,0.004540,0.000000,0.076320,0.103338,0.001000
subtle_contact_corruption,5,93,0.7000,1,1,subtle_contact_corruption,0.009528,34.413708,0.639462,0.802004,0.018623,0.000000,0.002804,1655.509213,0.000000,0.272239,123.452644,10.974713,0.430874,0.179460,0.166899,0.009139,0.000000,0.000001,3.486013,0.001500
subtle_energy_corruption,6,94,0.8000,1,1,subtle_energy_corruption,0.021831,62.306686,0.001413,1.057792,0.160046,0.000000,0.000832,1332.271485,0.000000,0.623754,15.632836,2.182953,0.439057,0.431993,0.571171,0.009494,0.000000,0.000002,0.246938,0.002000
timestamp_noncausal_corruption,7,95,0.9000,1,1,timestamp_noncausal_corruption,0.038060,36.075841,0.021905,3.805888,0.015390,0.000000,0.000466,7461.199897,0.000000,1.087423,7.676923,0.841416,0.304908,0.193483,0.161853,0.001396,0.009000,0.000002,0.207060,0.000000
adversarial_compensated_violation,0,96,1.0000,1,1,adversarial_compensated_violation,0.046313,92.810717,0.331026,4.630917,0.142803,0.000000,0.000968,5990.998734,0.000000,1.323223,61.679128,8.387988,0.889375,3.002998,0.804925,0.021858,0.000000,0.000001,0.657485,0.000500
mixed_near_threshold,1,97,1.1000,1,1,mixed_near_threshold,0.045343,71.891359,0.000000,1.684172,0.121099,0.000000,0.004489,4019.414632,0.000000,1.295514,2.707891,0.462751,0.314261,0.115119,0.268636,0.045346,0.000000,0.000001,0.037150,0.001000
nominal_valid,2,98,1.2000,0,0,nominal_valid,0.017995,24.179996,0.018644,1.622540,0.028491,0.000000,0.000567,2132.045831,0.000000,0.514129,10.613157,1.478816,0.647895,0.334926,0.440345,0.016881,0.000000,0.116897,0.421492,0.001500
rare_valid_bounce,3,99,0.4000,0,0,rare_valid_bounce,0.033455,89.621477,0.000000,3.343866,0.205510,0.000000,0.001585,3460.127391,0.000000,0.955847,32.041930,1.590689,0.976482,1.242178,0.925507,0.027567,0.000000,0.000000,0.353580,0.002000
valid_clock_skew,4,100,0.5000,0,0,valid_clock_skew,0.013865,14.738110,0.002926,1.354024,0.011857,0.000000,0.000442,2808.514452,0.000000,0.396144,3.125042,0.636326,0.442506,0.148296,0.239556,0.010317,0.037489,0.078555,0.198565,0.000000
valid_low_friction_slip,5,101,0.6000,0,0,valid_low_friction_slip,0.017149,21.030456,0.021234,1.630190,0.025968,0.000000,0.000349,4147.092557,0.000000,0.489958,6.378232,0.708488,0.588772,0.385902,0.446602,0.012037,0.000000,0.000001,0.289519,0.000500
