split,seed,episode,severity,label,unsafe,corruption,max_pose_jump,max_accel,contact_without_accel,motion_without_contact,energy_work_mismatch,support_violation,penetration_depth,friction_slip_inconsistency,actuator_saturation_score,causality_jump_score,max_contact_force,mean_contact_force,path_length,work_proxy,kinetic_energy_gain,z_range,timestamp_skew_score,impact_consistency_score,rare_valid_contact_score,noise_level
nominal_valid,0,0,0.4000,0,0,nominal_valid,0.013874,15.061578,0.010287,0.997890,0.015357,0.000000,0.000453,2459.341892,0.000000,0.396401,2.466124,0.375889,0.455542,0.101432,0.178632,0.014127,0.000000,0.000002,0.153542,0.000000
rare_valid_bounce,1,1,0.5000,0,0,rare_valid_bounce,0.020801,87.865904,0.053951,1.746009,0.089513,0.000000,0.000602,2005.065062,0.000000,0.594304,52.395083,1.626175,0.707919,1.461378,0.555818,0.016849,0.000000,0.000001,0.589597,0.000500
valid_clock_skew,2,2,0.6000,0,0,valid_clock_skew,0.012572,18.044792,0.001642,1.208007,0.021066,0.000000,0.000329,2483.673606,0.000000,0.359198,6.090519,0.620386,0.523531,0.206086,0.276458,0.015159,0.028772,0.000001,0.319800,0.001000
valid_low_friction_slip,3,3,0.7000,0,0,valid_low_friction_slip,0.016933,29.652485,0.000000,1.654170,0.025191,0.000000,0.000430,6516.888068,0.000000,0.483793,5.016862,0.292119,0.673334,0.190458,0.301720,0.011972,0.000000,0.000000,0.163669,0.001500
contact_corruption,4,4,0.8000,1,1,contact_corruption,0.011953,42.297599,1.973830,1.176826,0.034737,0.000000,0.008097,1287.307301,0.000000,0.341501,362.180508,32.872316,0.489251,0.471601,0.419879,0.010643,0.000000,0.326080,8.364910,0.002000
energy_work_corruption,5,5,0.9000,1,1,energy_work_corruption,0.035001,164.309312,0.011935,0.737420,0.320344,0.000000,0.000770,1334.318494,0.000000,1.000037,4.176266,0.729759,0.377283,0.215751,0.580715,0.002261,0.000000,0.248162,0.025263,0.000000
support_levitation,6,6,1.0000,1,1,support_levitation,0.085606,20.540258,0.000000,0.630231,0.111595,0.173913,0.000576,1120.237112,0.000000,2.445878,3.919306,0.462546,0.324602,0.170306,0.222093,0.087832,0.000000,0.000001,0.181953,0.000500
actuator_saturation,7,7,1.1000,1,1,actuator_saturation,0.052815,35.553309,0.000000,1.061843,0.017682,0.000000,0.000684,1281.797263,5.280909,1.509006,4.697843,1.202387,0.462830,0.376228,0.244989,0.005397,0.000000,0.344964,0.128520,0.001000
noncausal_teleport,0,8,1.2000,1,1,noncausal_teleport,0.098882,46.994886,0.000000,9.888029,0.025657,0.000000,0.000449,23798.660285,0.000000,2.825193,9.738553,0.797174,0.506370,0.307795,0.258369,0.006332,0.000000,0.000000,0.202908,0.001500
subtle_contact_corruption,1,9,0.4000,1,1,subtle_contact_corruption,0.012493,42.004366,0.360111,0.822001,0.020251,0.000000,0.001520,815.828872,0.000000,0.356933,71.566574,7.334770,0.430321,0.364262,0.297157,0.012957,0.000000,0.317155,1.664170,0.002000
subtle_energy_corruption,2,10,0.5000,1,1,subtle_energy_corruption,0.008160,46.575156,0.013256,0.517481,0.030733,0.000000,0.000533,480.220066,0.000000,0.233142,6.824027,1.546442,0.296667,0.378255,0.282891,0.003474,0.000000,0.398318,0.143437,0.000000
timestamp_noncausal_corruption,3,11,0.6000,1,1,timestamp_noncausal_corruption,0.027709,29.348915,0.000000,2.766629,0.014440,0.000000,0.000423,6351.754358,0.000000,0.791697,7.963114,1.025770,0.364071,0.309296,0.193370,0.002624,0.006000,0.000003,0.262385,0.000500
adversarial_compensated_violation,4,12,0.7000,1,1,adversarial_compensated_violation,0.035955,89.581300,0.227586,3.567331,0.153899,0.000000,0.001986,3892.502403,0.000000,1.027281,42.000000,6.685304,0.761037,2.855457,0.586601,0.023903,0.000000,0.000001,0.463672,0.001000
mixed_near_threshold,5,13,0.8000,1,1,mixed_near_threshold,0.029985,57.882560,0.006534,0.687820,0.080284,0.000000,0.003094,1096.798611,0.000000,0.856707,7.074695,1.168993,0.365911,0.266045,0.396791,0.038608,0.000000,0.303712,0.120149,0.001500
nominal_valid,6,14,0.9000,0,0,nominal_valid,0.022545,19.222586,0.000000,1.627939,0.024828,0.000000,0.000463,2884.044384,0.000000,0.644137,4.625232,0.802613,0.599015,0.187951,0.291749,0.020614,0.000000,0.084420,0.228716,0.002000
rare_valid_bounce,7,15,1.0000,0,0,rare_valid_bounce,0.025868,57.248585,0.000000,2.582542,0.120447,0.000000,0.000694,4075.819855,0.000000,0.739083,14.292365,0.826801,0.880849,0.809939,0.839389,0.015657,0.000000,0.000006,0.245368,0.000000
valid_clock_skew,0,16,1.1000,0,0,valid_clock_skew,0.014499,18.203581,0.000000,1.278099,0.014491,0.000000,0.000409,2612.327773,0.000000,0.414250,3.628972,0.511331,0.605416,0.122182,0.267531,0.016934,0.018725,0.000003,0.188974,0.000500
valid_low_friction_slip,1,17,1.2000,0,0,valid_low_friction_slip,0.017264,20.607081,0.000000,1.544181,0.015340,0.000000,0.000509,5047.443297,0.000000,0.493245,2.388188,0.236905,0.636600,0.129011,0.224154,0.013976,0.000000,0.000001,0.110528,0.001000
contact_corruption,2,18,0.4000,1,1,contact_corruption,0.010142,36.877833,0.979675,0.958765,0.016144,0.000000,0.004638,1442.370240,0.000000,0.289759,181.599694,16.698432,0.365394,0.191601,0.186704,0.009080,0.000000,0.001872,4.794353,0.001500
energy_work_corruption,3,19,0.5000,1,1,energy_work_corruption,0.024589,109.892855,0.006948,0.808665,0.146378,0.000000,0.000871,784.202698,0.000000,0.702542,11.818020,1.868824,0.455437,0.424805,0.578440,0.014983,0.000000,0.310561,0.106572,0.002000
support_levitation,4,20,0.6000,1,1,support_levitation,0.051690,14.472675,0.000000,0.463160,0.063609,0.173913,0.000572,956.950509,0.000000,1.476856,2.737481,0.490910,0.277410,0.149132,0.132614,0.052083,0.000000,0.000001,0.176924,0.000000
actuator_saturation,5,21,0.7000,1,1,actuator_saturation,0.029724,34.021618,0.004700,0.393240,0.011809,0.000000,0.000316,869.323104,2.971715,0.849252,4.681964,1.011644,0.352417,0.278730,0.161998,0.007506,0.000000,0.434371,0.133688,0.000500
noncausal_teleport,6,22,0.8000,1,1,noncausal_teleport,0.060206,48.346414,0.007321,6.016423,0.036110,0.000000,0.000305,5811.166144,0.000000,1.720159,9.302692,1.751465,0.405901,0.511766,0.313580,0.007123,0.000000,0.314949,0.188518,0.001000
subtle_contact_corruption,7,23,0.9000,1,1,subtle_contact_corruption,0.009711,18.856490,0.844988,0.678340,0.016777,0.000000,0.003922,1012.743611,0.000000,0.277463,158.336523,14.624283,0.355852,0.280411,0.207235,0.009187,0.000000,0.281960,7.974044,0.001500
subtle_energy_corruption,0,24,1.0000,1,1,subtle_energy_corruption,0.016189,81.604665,0.000000,1.580220,0.063408,0.000000,0.000481,1727.590393,0.000000,0.462550,7.779401,1.026306,0.417268,0.237449,0.271608,0.008882,0.000000,0.381044,0.094176,0.002000
timestamp_noncausal_corruption,1,25,1.1000,1,1,timestamp_noncausal_corruption,0.045018,28.603709,0.020588,4.501761,0.019147,0.000000,0.000529,8237.029970,0.000000,1.286227,11.135680,1.135467,0.336208,0.281719,0.216665,0.001660,0.011000,0.000000,0.376158,0.000000
adversarial_compensated_violation,2,26,1.2000,1,1,adversarial_compensated_violation,0.054883,78.951028,0.448713,5.488136,0.443567,0.000000,0.002965,5534.293281,0.000000,1.568080,87.414310,11.429612,0.938263,4.286020,2.018593,0.027330,0.000000,0.000001,1.093348,0.000500
mixed_near_threshold,3,27,0.4000,1,1,mixed_near_threshold,0.019269,27.096704,0.005120,0.830745,0.044190,0.000000,0.001872,1724.465367,0.000000,0.550549,4.418222,0.896791,0.299804,0.221649,0.213809,0.018676,0.000000,0.000005,0.157251,0.001000
nominal_valid,4,28,0.5000,0,0,nominal_valid,0.015935,16.232187,0.009539,1.388282,0.016816,0.000000,0.000496,2629.350057,0.000000,0.455282,4.886260,0.982263,0.534366,0.323591,0.255107,0.012012,0.000000,0.227857,0.283554,0.001500
rare_valid_bounce,5,29,0.6000,0,0,rare_valid_bounce,0.033183,68.501615,0.000000,3.317700,0.195555,0.000000,0.000368,4326.173302,0.000000,0.948094,16.607405,1.033966,0.969686,0.892422,1.270225,0.033028,0.000000,0.000000,0.238950,0.002000
valid_clock_skew,6,30,0.7000,0,0,valid_clock_skew,0.015209,24.244877,0.014589,1.052342,0.033310,0.000000,0.000758,1199.628717,0.000000,0.434535,7.354575,1.527769,0.532476,0.456534,0.442815,0.013857,0.031535,0.417859,0.291329,0.000000
valid_low_friction_slip,7,31,0.8000,0,0,valid_low_friction_slip,0.019778,14.477186,0.000000,1.335171,0.026820,0.000000,0.000439,4907.065941,0.000000,0.565088,2.716630,0.319416,0.609217,0.166022,0.370634,0.012336,0.000000,0.000001,0.175525,0.000500
contact_corruption,0,32,0.9000,1,1,contact_corruption,0.008654,32.124379,2.244125,0.809670,0.017353,0.000000,0.009000,1128.946561,0.000000,0.247248,406.632025,36.064254,0.362840,0.248415,0.199321,0.005254,0.000000,0.243389,12.275914,0.001000
energy_work_corruption,1,33,1.0000,1,1,energy_work_corruption,0.035478,184.485442,0.060091,0.972212,0.386925,0.000000,0.000739,1033.703505,0.000000,1.013653,17.327792,2.426556,0.463199,0.475881,0.991219,0.018208,0.000000,0.027976,0.093419,0.001500
support_levitation,2,34,1.1000,1,1,support_levitation,0.093836,49.544017,0.004661,1.172455,0.136029,0.173913,0.000542,1210.058011,0.000000,2.681029,15.128575,1.306818,0.426700,0.302632,0.368005,0.106577,0.000000,0.165402,0.299315,0.002000
actuator_saturation,3,35,1.2000,1,1,actuator_saturation,0.056219,25.376620,0.010159,5.621609,0.007382,0.000000,0.000523,8102.035406,5.621609,1.606265,7.618900,0.684343,0.394189,0.176589,0.109385,0.001552,0.000000,0.424959,0.288850,0.000000
noncausal_teleport,4,36,0.4000,1,1,noncausal_teleport,0.031022,26.067749,0.000000,3.102181,0.013957,0.000000,0.000466,6205.536157,0.000000,0.886354,3.593262,0.791376,0.332968,0.219310,0.135879,0.002456,0.000000,0.150226,0.132751,0.000500
subtle_contact_corruption,5,37,0.5000,1,1,subtle_contact_corruption,0.006670,35.511003,0.488613,0.533110,0.024318,0.000000,0.002400,542.457525,0.000000,0.190559,93.016817,9.272630,0.291599,0.476629,0.181262,0.004920,0.000000,0.431909,2.547638,0.001000
subtle_energy_corruption,6,38,0.6000,1,1,subtle_energy_corruption,0.010683,43.715326,0.000000,0.514560,0.039875,0.000000,0.000426,503.360278,0.000000,0.305226,5.933311,1.832095,0.376349,0.445033,0.463534,0.009491,0.000000,0.425463,0.132691,0.001500
timestamp_noncausal_corruption,7,39,0.7000,1,1,timestamp_noncausal_corruption,0.034019,23.331549,0.000000,3.401262,0.014972,0.000000,0.000816,4519.954389,0.000000,0.971980,11.310637,0.962629,0.430679,0.214603,0.233177,0.008389,0.007000,0.231550,0.464855,0.002000
adversarial_compensated_violation,0,40,0.8000,1,1,adversarial_compensated_violation,0.036878,93.460676,0.341932,3.687815,0.095396,0.000000,0.001209,5021.401743,0.000000,1.053661,61.547820,9.136816,0.636885,4.218539,0.656263,0.008898,0.000000,0.000006,0.651571,0.000000
mixed_near_threshold,1,41,0.9000,1,1,mixed_near_threshold,0.038019,61.325113,0.000000,0.572748,0.092469,0.000000,0.003688,1255.081441,0.000000,1.086267,3.897869,0.580474,0.347320,0.204911,0.232901,0.036337,0.000000,0.000001,0.062541,0.000500
nominal_valid,2,42,1.0000,0,0,nominal_valid,0.016867,26.925539,0.000000,1.514664,0.017071,0.000000,0.000649,2151.736477,0.000000,0.481924,5.852396,0.878921,0.584805,0.249046,0.262181,0.019198,0.000000,0.034145,0.209571,0.001000
rare_valid_bounce,3,43,1.1000,0,0,rare_valid_bounce,0.032678,100.368136,0.033765,3.253268,0.230119,0.000000,0.002452,3446.309148,0.000000,0.933666,20.974823,1.478023,0.983333,1.075486,1.345611,0.029475,0.000000,0.000000,0.206917,0.001500
valid_clock_skew,4,44,1.2000,0,0,valid_clock_skew,0.020352,20.295826,0.000000,1.746017,0.020514,0.000000,0.000673,2667.772080,0.000000,0.581483,5.105077,0.936352,0.676085,0.234977,0.311174,0.017643,0.027167,0.311426,0.239722,0.002000
valid_low_friction_slip,5,45,0.4000,0,0,valid_low_friction_slip,0.014037,24.933625,0.020756,1.381908,0.015605,0.000000,0.000385,3528.008903,0.000000,0.401054,3.741597,0.282878,0.492503,0.144625,0.158663,0.012471,0.000000,0.000001,0.144276,0.000000
contact_corruption,6,46,0.5000,1,1,contact_corruption,0.006615,29.261053,1.229193,0.650515,0.010134,0.000000,0.005186,950.811314,0.000000,0.189008,228.589039,20.348531,0.285358,0.169099,0.113600,0.002697,0.000000,0.030619,7.553902,0.000500
energy_work_corruption,7,47,0.6000,1,1,energy_work_corruption,0.024043,107.294712,0.000000,0.779287,0.157335,0.000000,0.000393,4029.277334,0.000000,0.686934,3.844039,0.464517,0.364702,0.102856,0.298637,0.004764,0.000000,0.000001,0.035496,0.001000
support_levitation,0,48,0.7000,1,1,support_levitation,0.061328,28.247654,0.016405,0.932601,0.084761,0.173913,0.000501,1152.516703,0.000000,1.752216,10.392425,1.229012,0.384159,0.287471,0.316461,0.065748,0.000000,0.000001,0.355325,0.001500
actuator_saturation,1,49,0.8000,1,1,actuator_saturation,0.038637,32.409619,0.000000,0.845847,0.019756,0.000000,0.000745,1039.085652,3.823326,1.103913,10.954325,1.729488,0.505310,0.414827,0.304888,0.010951,0.000000,0.177374,0.327879,0.002000
noncausal_teleport,2,50,0.9000,1,1,noncausal_teleport,0.069217,35.887925,0.008181,6.921656,0.007741,0.000000,0.000414,18392.139033,0.000000,1.977616,2.262441,0.294908,0.346983,0.081831,0.069681,0.001174,0.000000,0.000002,0.061333,0.000000
subtle_contact_corruption,3,51,1.0000,1,1,subtle_contact_corruption,0.006747,23.461769,0.937230,0.524349,0.007369,0.000000,0.004081,1142.612437,0.000000,0.192762,171.957178,15.254872,0.291563,0.109976,0.085228,0.002596,0.000000,0.001007,7.029630,0.000500
subtle_energy_corruption,4,52,1.1000,1,1,subtle_energy_corruption,0.016887,86.148026,0.005693,0.590103,0.089617,0.000000,0.000486,1095.780654,0.000000,0.482476,5.916274,0.549571,0.341808,0.123458,0.232808,0.006957,0.000000,0.053452,0.067888,0.001000
timestamp_noncausal_corruption,5,53,1.2000,1,1,timestamp_noncausal_corruption,0.055001,46.533670,0.000000,5.500078,0.020151,0.000000,0.000491,17739.286109,0.000000,1.571466,4.077300,0.528309,0.455736,0.156012,0.232835,0.006190,0.012000,0.000000,0.085777,0.001500
adversarial_compensated_violation,6,54,0.4000,1,1,adversarial_compensated_violation,0.029108,95.178814,0.122082,2.726391,0.139758,0.000000,0.002530,2687.007914,0.000000,0.831666,24.000000,4.477240,0.683934,1.867406,1.205906,0.023334,0.000000,0.000000,0.249535,0.002000
mixed_near_threshold,7,55,0.5000,1,1,mixed_near_threshold,0.022059,32.557064,0.014124,0.622661,0.042764,0.000000,0.002353,821.617748,0.000000,0.630270,7.732393,1.154779,0.254691,0.232599,0.233013,0.020507,0.000000,0.000001,0.230425,0.000000
nominal_valid,0,56,0.6000,0,0,nominal_valid,0.011352,17.861298,0.012792,1.085645,0.019932,0.000000,0.000395,1953.115306,0.000000,0.324337,8.571029,1.342216,0.458352,0.335526,0.327559,0.012386,0.000000,0.251743,0.454424,0.000500
rare_valid_bounce,1,57,0.7000,0,0,rare_valid_bounce,0.026158,51.837262,0.057728,1.832557,0.143479,0.000000,0.000696,3825.519718,0.000000,0.747383,13.535767,0.856071,0.777945,0.953051,0.911722,0.012855,0.000000,0.000001,0.256178,0.001000
valid_clock_skew,2,58,0.8000,0,0,valid_clock_skew,0.018417,20.140864,0.000000,1.792455,0.017474,0.000000,0.000492,3021.836935,0.000000,0.526194,5.539846,0.582404,0.539907,0.159849,0.281317,0.016959,0.022224,0.249101,0.262044,0.001500
valid_low_friction_slip,3,59,0.9000,0,0,valid_low_friction_slip,0.017864,26.452601,0.002467,1.713346,0.036460,0.000000,0.000458,5150.124894,0.000000,0.510411,4.733969,0.403995,0.669677,0.194764,0.352410,0.019245,0.000000,0.000000,0.172442,0.002000
contact_corruption,4,60,1.0000,1,1,contact_corruption,0.006221,37.929370,2.494060,0.608388,0.018045,0.000000,0.010223,941.219371,0.000000,0.177736,453.184134,40.788292,0.291772,0.458731,0.215799,0.001728,0.000000,0.226652,11.641189,0.000000
energy_work_corruption,5,61,1.1000,1,1,energy_work_corruption,0.040280,198.887833,0.009165,4.027957,0.486488,0.000000,0.000441,7286.629085,0.000000,1.150847,6.006549,1.230974,0.314113,0.255186,0.863616,0.003188,0.000000,0.034155,0.030050,0.000500
support_levitation,6,62,1.2000,1,1,support_levitation,0.104226,16.373191,0.000000,0.827169,0.244338,0.173913,0.000656,1564.671992,0.000000,2.977891,9.230999,0.975798,0.381801,0.288377,0.552299,0.106254,0.000000,0.000001,0.531336,0.001000
actuator_saturation,7,63,0.4000,1,1,actuator_saturation,0.019344,35.976230,0.015061,0.949292,0.033496,0.000000,0.000789,1052.647748,1.929277,0.552689,10.636448,2.005855,0.394895,0.361095,0.371144,0.012292,0.000000,0.253600,0.287656,0.001500
noncausal_teleport,0,64,0.5000,1,1,noncausal_teleport,0.046129,54.111051,0.002196,4.603676,0.025766,0.000000,0.000545,8673.934912,0.000000,1.317977,4.477858,0.708843,0.513895,0.238593,0.288718,0.009514,0.000000,0.000000,0.081252,0.002000
subtle_contact_corruption,1,65,0.6000,1,1,subtle_contact_corruption,0.006017,16.905345,0.559280,0.581482,0.009771,0.000000,0.002530,1113.217715,0.000000,0.171910,105.517921,9.769433,0.308971,0.265550,0.123166,0.001620,0.000000,0.004624,5.893096,0.000000
subtle_energy_corruption,2,66,0.7000,1,1,subtle_energy_corruption,0.011556,48.736726,0.004645,1.144760,0.027931,0.000000,0.000422,2070.601455,0.000000,0.330179,3.977115,0.752457,0.333345,0.208810,0.175417,0.002878,0.000000,0.175039,0.079963,0.000500
timestamp_noncausal_corruption,3,67,0.8000,1,1,timestamp_noncausal_corruption,0.033915,47.631684,0.000000,3.390609,0.021961,0.000000,0.000560,3257.483157,0.000000,0.968996,5.376688,0.999256,0.409944,0.343272,0.203820,0.005681,0.008000,0.342528,0.110559,0.001000
adversarial_compensated_violation,4,68,0.9000,1,1,adversarial_compensated_violation,0.040162,72.964236,0.292208,4.003622,0.096316,0.000000,0.000715,5451.190131,0.000000,1.147482,54.000000,7.719048,0.571168,2.782735,0.442690,0.009730,0.000000,0.000000,0.730083,0.001500
mixed_near_threshold,5,69,1.0000,1,1,mixed_near_threshold,0.039220,70.752617,0.002095,1.522613,0.135141,0.000000,0.004149,3445.240832,0.000000,1.120578,5.314434,0.702225,0.426497,0.183816,0.420376,0.045605,0.000000,0.000001,0.074066,0.002000
nominal_valid,6,70,1.1000,0,0,nominal_valid,0.017384,20.441281,0.010060,1.047126,0.018657,0.000000,0.000560,1908.887654,0.000000,0.496676,6.322390,0.899060,0.542312,0.276552,0.314367,0.014456,0.000000,0.173809,0.294870,0.000000
rare_valid_bounce,7,71,1.2000,0,0,rare_valid_bounce,0.022300,49.166443,0.000000,2.224589,0.092926,0.000000,0.000711,3885.403753,0.000000,0.637132,13.808193,0.784697,0.829832,0.747657,0.767535,0.021037,0.000000,0.000001,0.275248,0.000500
valid_clock_skew,0,72,0.4000,0,0,valid_clock_skew,0.014065,21.772019,0.006910,1.339808,0.020687,0.000000,0.000447,2510.624304,0.000000,0.401867,11.155500,0.968837,0.520360,0.347856,0.264822,0.009281,0.018661,0.108192,0.489877,0.001000
valid_low_friction_slip,1,73,0.5000,0,0,valid_low_friction_slip,0.015622,24.376253,0.000000,1.343213,0.025971,0.000000,0.000442,3345.263069,0.000000,0.446350,3.506935,0.473898,0.585057,0.240506,0.319869,0.012595,0.000000,0.000000,0.138197,0.001500
contact_corruption,2,74,0.6000,1,1,contact_corruption,0.014289,53.726293,1.474213,0.849938,0.038866,0.000000,0.006000,798.848217,0.000000,0.408258,272.525274,25.267687,0.505187,0.594406,0.412378,0.011226,0.000000,0.378344,4.979787,0.002000
energy_work_corruption,3,75,0.7000,1,1,energy_work_corruption,0.029378,129.304166,0.013989,0.579171,0.297417,0.000000,0.000755,617.048549,0.000000,0.839380,9.447114,2.067756,0.326921,0.550911,0.704582,0.006677,0.000000,0.274218,0.072500,0.000000
support_levitation,4,76,0.8000,1,1,support_levitation,0.068203,27.565503,0.002987,0.921555,0.105830,0.173913,0.000371,1267.347105,0.000000,1.948660,13.214969,1.306351,0.343148,0.395907,0.334799,0.071462,0.000000,0.000001,0.462620,0.000500
actuator_saturation,5,77,0.9000,1,1,actuator_saturation,0.039946,15.088126,0.002286,0.787823,0.014739,0.000000,0.000499,1875.182928,3.987270,1.141313,4.551720,0.670383,0.409428,0.189177,0.170428,0.005137,0.000000,0.000001,0.282924,0.001000
noncausal_teleport,6,78,1.0000,1,1,noncausal_teleport,0.084503,39.557556,0.000000,8.448865,0.026522,0.000000,0.000858,9965.933583,0.000000,2.414383,9.365107,1.747149,0.450816,0.436314,0.336305,0.007114,0.000000,0.149203,0.230909,0.001500
subtle_contact_corruption,7,79,1.1000,1,1,subtle_contact_corruption,0.011365,28.523911,1.037358,1.076169,0.018371,0.000000,0.004378,1936.120939,0.000000,0.324713,191.758118,17.065604,0.426690,0.198000,0.192921,0.008254,0.000000,0.004277,6.495011,0.002000
subtle_energy_corruption,0,80,1.2000,1,1,subtle_energy_corruption,0.019707,86.504718,0.010463,0.597845,0.158828,0.000000,0.000268,670.704897,0.000000,0.563064,6.501214,1.569846,0.312757,0.396344,0.484447,0.005053,0.000000,0.409879,0.074296,0.000000
timestamp_noncausal_corruption,1,81,0.4000,1,1,timestamp_noncausal_corruption,0.017775,22.714874,0.012979,1.773302,0.019753,0.000000,0.000534,2932.015548,0.000000,0.507862,8.395652,1.133354,0.334522,0.294529,0.214051,0.003914,0.004000,0.000001,0.354025,0.000500
adversarial_compensated_violation,2,82,0.5000,1,1,adversarial_compensated_violation,0.034435,58.533034,0.154462,3.442808,0.097594,0.000000,0.000318,8600.780885,0.000000,0.983845,30.000000,4.139682,0.572328,1.419542,0.475065,0.004472,0.000000,0.000001,0.503922,0.001000
mixed_near_threshold,3,83,0.6000,1,1,mixed_near_threshold,0.025455,40.787482,0.002270,1.098257,0.050844,0.000000,0.002556,2480.697294,0.000000,0.727278,2.907888,0.433335,0.419551,0.148893,0.238760,0.028596,0.000000,0.000001,0.069588,0.001500
nominal_valid,4,84,0.7000,0,0,nominal_valid,0.017200,17.438409,0.000000,1.636114,0.019901,0.000000,0.000426,3356.614844,0.000000,0.491428,5.557217,0.825597,0.560870,0.232065,0.318146,0.014394,0.000000,0.000001,0.301394,0.002000
rare_valid_bounce,5,85,0.8000,0,0,rare_valid_bounce,0.029713,95.304975,0.071528,2.879007,0.100482,0.000000,0.000767,4777.629206,0.000000,0.848931,20.421011,0.956472,0.791140,1.324454,0.655925,0.016542,0.000000,0.000027,0.212045,0.000000
valid_clock_skew,6,86,0.9000,0,0,valid_clock_skew,0.017244,29.925970,0.022126,1.673916,0.033224,0.000000,0.000651,1894.309039,0.000000,0.492678,12.817250,1.966976,0.563236,0.398644,0.505197,0.012904,0.042124,0.028945,0.414449,0.000500
valid_low_friction_slip,7,87,1.0000,0,0,valid_low_friction_slip,0.018414,18.989136,0.000000,1.531050,0.015903,0.000000,0.000470,4597.277951,0.000000,0.526123,4.189848,0.319136,0.639276,0.148086,0.268270,0.018538,0.000000,0.000000,0.209606,0.001000
contact_corruption,0,88,1.1000,1,1,contact_corruption,0.010568,23.963133,2.726659,1.049730,0.015361,0.000000,0.011230,1506.480599,0.000000,0.301934,497.989245,44.187459,0.385621,0.299021,0.192854,0.007845,0.000000,0.271101,19.948988,0.001500
energy_work_corruption,1,89,1.2000,1,1,energy_work_corruption,0.049298,216.988050,0.051541,4.927675,0.788915,0.000000,0.000912,5250.519662,0.000000,1.408500,12.764351,1.884637,0.471800,0.338063,1.121930,0.008965,0.000000,0.151823,0.058555,0.002000
support_levitation,2,90,0.4000,1,1,support_levitation,0.034627,22.217896,0.004272,0.643997,0.051748,0.000000,0.000606,1142.287635,0.000000,0.989331,4.150178,0.594020,0.330470,0.172813,0.212658,0.035483,0.000000,0.000001,0.178749,0.000000
actuator_saturation,3,91,0.5000,1,1,actuator_saturation,0.023362,31.401562,0.017838,2.334021,0.025366,0.000000,0.001036,3169.638672,2.334021,0.667481,12.536728,1.907336,0.342195,0.323842,0.318477,0.003038,0.000000,0.000002,0.386917,0.000500
