aggregate_group,method,precision,recall,f1,accuracy,false_positive_rate,flag_rate,positive_rate,auroc,auprc,score_mean,episodes,seeds
all_main,calibrated_learned_stack,0.9716,1.0000,0.9856,0.9786,0.0804,0.7548,0.7333,0.9995,0.9998,0.7401,1680,8
all_main,conformal_residual_ensemble,0.9837,0.7354,0.8416,0.7970,0.0335,0.5482,0.7333,0.9472,0.9816,289859.5199,1680,8
all_main,contact_impulse_threshold,0.9522,0.2752,0.4270,0.4583,0.0379,0.2119,0.7333,0.6088,0.8412,0.2784,1680,8
all_main,energy_residual_threshold,0.9088,0.2427,0.3831,0.4268,0.0670,0.1958,0.7333,0.5817,0.8368,2.2177,1680,8
all_main,hgb_failure_classifier,0.9655,1.0000,0.9825,0.9738,0.0982,0.7595,0.7333,0.9995,0.9998,0.7429,1680,8
all_main,isolation_forest_detector,0.9694,0.3856,0.5517,0.5405,0.0335,0.2917,0.7333,0.9370,0.9612,0.5625,1680,8
all_main,kinematic_residual_threshold,0.9656,0.5463,0.6978,0.6530,0.0536,0.4149,0.7333,0.8028,0.9307,2.0959,1680,8
all_main,logistic_residual_stack,0.9783,0.8409,0.9044,0.8696,0.0513,0.6304,0.7333,0.9726,0.9899,0.6938,1680,8
all_main,max_residual_detector,0.9072,0.3255,0.4791,0.4810,0.0915,0.2631,0.7333,0.4705,0.8020,353.6467,1680,8
all_main,oracle_violation_labels,1.0000,1.0000,1.0000,1.0000,0.0000,0.7333,0.7333,1.0000,1.0000,0.7333,1680,8
all_main,pca_reconstruction_audit,0.9606,0.9708,0.9657,0.9494,0.1094,0.7411,0.7333,0.9892,0.9963,1.1851,1680,8
all_main,physics_violation_audit,0.9072,0.3255,0.4791,0.4810,0.0915,0.2631,0.7333,0.4712,0.8023,221.6650,1680,8
all_main,physics_violation_audit_v5,0.9068,0.3239,0.4773,0.4798,0.0915,0.2619,0.7333,0.4748,0.8020,195.8060,1680,8
all_main,random_flagger,0.7546,0.5292,0.6221,0.5286,0.4732,0.5143,0.7333,0.5288,0.7480,0.5094,1680,8
all_main,random_forest_ensemble,0.9693,1.0000,0.9844,0.9768,0.0871,0.7565,0.7333,1.0000,1.0000,0.7397,1680,8
valid_regimes,calibrated_learned_stack,0.0000,0.0000,0.0000,0.9196,0.0804,0.0804,0.0000,0.0000,0.0000,0.0445,448,8
valid_regimes,conformal_residual_ensemble,0.0000,0.0000,0.0000,0.9665,0.0335,0.0335,0.0000,0.0000,0.0000,0.7853,448,8
valid_regimes,contact_impulse_threshold,0.0000,0.0000,0.0000,0.9621,0.0379,0.0379,0.0000,0.0000,0.0000,0.0217,448,8
valid_regimes,energy_residual_threshold,0.0000,0.0000,0.0000,0.9330,0.0670,0.0670,0.0000,0.0000,0.0000,1.1695,448,8
valid_regimes,hgb_failure_classifier,0.0000,0.0000,0.0000,0.9018,0.0982,0.0982,0.0000,0.0000,0.0000,0.0388,448,8
valid_regimes,isolation_forest_detector,0.0000,0.0000,0.0000,0.9665,0.0335,0.0335,0.0000,0.0000,0.0000,0.4538,448,8
valid_regimes,kinematic_residual_threshold,0.0000,0.0000,0.0000,0.9464,0.0536,0.0536,0.0000,0.0000,0.0000,1.0953,448,8
valid_regimes,logistic_residual_stack,0.0000,0.0000,0.0000,0.9487,0.0513,0.0513,0.0000,0.0000,0.0000,0.2821,448,8
valid_regimes,max_residual_detector,0.0000,0.0000,0.0000,0.9085,0.0915,0.0915,0.0000,0.0000,0.0000,258.5166,448,8
valid_regimes,oracle_violation_labels,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,448,8
valid_regimes,pca_reconstruction_audit,0.0000,0.0000,0.0000,0.8906,0.1094,0.1094,0.0000,0.0000,0.0000,0.0060,448,8
valid_regimes,physics_violation_audit,0.0000,0.0000,0.0000,0.9085,0.0915,0.0915,0.0000,0.0000,0.0000,161.8503,448,8
valid_regimes,physics_violation_audit_v5,0.0000,0.0000,0.0000,0.9085,0.0915,0.0915,0.0000,0.0000,0.0000,143.3573,448,8
valid_regimes,random_flagger,0.0000,0.0000,0.0000,0.5268,0.4732,0.4732,0.0000,0.0000,0.0000,0.4827,448,8
valid_regimes,random_forest_ensemble,0.0000,0.0000,0.0000,0.9129,0.0871,0.0871,0.0000,0.0000,0.0000,0.1299,448,8
hard_corruptions,calibrated_learned_stack,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9930,1232,8
hard_corruptions,conformal_residual_ensemble,1.0000,0.7354,0.8475,0.7354,0.0000,0.7354,1.0000,0.0000,1.0000,395262.6961,1232,8
hard_corruptions,contact_impulse_threshold,1.0000,0.2752,0.4316,0.2752,0.0000,0.2752,1.0000,0.0000,1.0000,0.3717,1232,8
hard_corruptions,energy_residual_threshold,1.0000,0.2427,0.3906,0.2427,0.0000,0.2427,1.0000,0.0000,1.0000,2.5989,1232,8
hard_corruptions,hgb_failure_classifier,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9989,1232,8
hard_corruptions,isolation_forest_detector,1.0000,0.3856,0.5565,0.3856,0.0000,0.3856,1.0000,0.0000,1.0000,0.6020,1232,8
hard_corruptions,kinematic_residual_threshold,1.0000,0.5463,0.7066,0.5463,0.0000,0.5463,1.0000,0.0000,1.0000,2.4598,1232,8
hard_corruptions,logistic_residual_stack,1.0000,0.8409,0.9136,0.8409,0.0000,0.8409,1.0000,0.0000,1.0000,0.8435,1232,8
hard_corruptions,max_residual_detector,1.0000,0.3255,0.4911,0.3255,0.0000,0.3255,1.0000,0.0000,1.0000,388.2395,1232,8
hard_corruptions,oracle_violation_labels,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1232,8
hard_corruptions,pca_reconstruction_audit,1.0000,0.9708,0.9852,0.9708,0.0000,0.9708,1.0000,0.0000,1.0000,1.6139,1232,8
hard_corruptions,physics_violation_audit,1.0000,0.3255,0.4911,0.3255,0.0000,0.3255,1.0000,0.0000,1.0000,243.4158,1232,8
hard_corruptions,physics_violation_audit_v5,1.0000,0.3239,0.4893,0.3239,0.0000,0.3239,1.0000,0.0000,1.0000,214.8782,1232,8
hard_corruptions,random_flagger,1.0000,0.5292,0.6921,0.5292,0.0000,0.5292,1.0000,0.0000,1.0000,0.5191,1232,8
hard_corruptions,random_forest_ensemble,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9614,1232,8
combined_and_adversarial,calibrated_learned_stack,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9955,336,8
combined_and_adversarial,conformal_residual_ensemble,1.0000,0.6667,0.8000,0.6667,0.0000,0.6667,1.0000,0.0000,1.0000,724639.5515,336,8
combined_and_adversarial,contact_impulse_threshold,1.0000,0.3333,0.5000,0.3333,0.0000,0.3333,1.0000,0.0000,1.0000,0.1272,336,8
combined_and_adversarial,energy_residual_threshold,1.0000,0.4435,0.6144,0.4435,0.0000,0.4435,1.0000,0.0000,1.0000,4.2700,336,8
combined_and_adversarial,hgb_failure_classifier,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9965,336,8
combined_and_adversarial,isolation_forest_detector,1.0000,0.6815,0.8106,0.6815,0.0000,0.6815,1.0000,0.0000,1.0000,0.6498,336,8
combined_and_adversarial,kinematic_residual_threshold,1.0000,0.9702,0.9849,0.9702,0.0000,0.9702,1.0000,0.0000,1.0000,3.7705,336,8
combined_and_adversarial,logistic_residual_stack,1.0000,0.9940,0.9970,0.9940,0.0000,0.9940,1.0000,0.0000,1.0000,0.9190,336,8
